Application Name,Category
replit,CODE & DOCUMENTATION
GitHub Copilot,CODE & DOCUMENTATION
tabnine,CODE & DOCUMENTATION
AWS CodeWhisperer,CODE & DOCUMENTATION
poolside,CODE & DOCUMENTATION
Magic,CODE & DOCUMENTATION
warp,CODE & DOCUMENTATION
Cursor,CODE & DOCUMENTATION
Stenography,CODE & DOCUMENTATION
Mintlify,CODE & DOCUMENTATION
Debuild,CODE & DOCUMENTATION
anima,CODE & DOCUMENTATION
Cody,CODE & DOCUMENTATION
mutable.ai,CODE & DOCUMENTATION
2sql,CODE & DOCUMENTATION
Salesforce,CODE & DOCUMENTATION
Moderne,CODE & DOCUMENTATION
diffblue,CODE & DOCUMENTATION
MACHINET,CODE & DOCUMENTATION
FACTORY,CODE & DOCUMENTATION
codium,CODE & DOCUMENTATION
codeium,CODE & DOCUMENTATION
ASTRAL,CODE & DOCUMENTATION
TabbyML,CODE & DOCUMENTATION
cosine,CODE & DOCUMENTATION
Laredo Labs,CODE & DOCUMENTATION
Daytona,CODE & DOCUMENTATION
CodeComplete,CODE & DOCUMENTATION
Jasper,TEXT
Writer,TEXT
copy.ai,TEXT
Grammarly,TEXT
cogram,TEXT
sudo write,TEXT
Wordtune,TEXT
Compose AI,TEXT
Moonbeam,TEXT
Subtxt,TEXT
NovelAI,TEXT
Laika,TEXT
Scalenut,TEXT
HyperWrite,TEXT
craftly.ai,TEXT
fable,TEXT
ONEAI,TEXT
STRUT,TEXT
Descript,AUDIO & VOICE
Krisp,AUDIO & VOICE
AIVA,AUDIO & VOICE
Otter.ai,AUDIO & VOICE
coqui,AUDIO & VOICE
Suno,AUDIO & VOICE
hume,AUDIO & VOICE
sanas,AUDIO & VOICE
WELL SAID,AUDIO & VOICE
VOICEMOD,AUDIO & VOICE
neosapience,AUDIO & VOICE
RESPEECHER,AUDIO & VOICE
boomy,AUDIO & VOICE
VOCALID,AUDIO & VOICE
Fireflies,AUDIO & VOICE
PlayHT,AUDIO & VOICE
REPLICA,AUDIO & VOICE
MODULATE,AUDIO & VOICE
MURF.AI,AUDIO & VOICE
RILLA,AUDIO & VOICE
SPLASH,AUDIO & VOICE
Podcast.ai,AUDIO & VOICE
RIVERSIDE,AUDIO & VOICE
AUDIOLAB,AUDIO & VOICE
Mubert,AUDIO & VOICE
Hormoon,AUDIO & VOICE
OKIO,AUDIO & VOICE
TuneFlow,AUDIO & VOICE
AD AURIS,AUDIO & VOICE
SONIFY,AUDIO & VOICE
Midjourney,IMAGE
stability.ai,IMAGE
PhotoRoom,IMAGE
IMAGEN,IMAGE
PRISMA LABS,IMAGE
Playground,IMAGE
Lexica,IMAGE
craiyon,IMAGE
alpaca,IMAGE
Ideogram,IMAGE
finegrain,IMAGE
Facet,IMAGE
Let's Enhance.io,IMAGE
TOPAZ LABS,IMAGE
artbreeder,IMAGE
Hypotenuse AI,IMAGE
mage.space,IMAGE
Nyx + gallery,IMAGE
windsor,IMAGE
KREA,IMAGE
PixelVibe,IMAGE
WaifuLabs,IMAGE
Blend,IMAGE
Lightricks,IMAGE
Metascreat,IMAGE
VISIONARY.AI,IMAGE
VISUAL ELECTRIC,IMAGE
Adobe,PRESENTATION & DESIGN
Figma,PRESENTATION & DESIGN
Canva,PRESENTATION & DESIGN
Notion,PRESENTATION & DESIGN
mem,PRESENTATION & DESIGN
tome,PRESENTATION & DESIGN
beautiful.ai,PRESENTATION & DESIGN
Gamma,PRESENTATION & DESIGN
Prezo,PRESENTATION & DESIGN
napkin,PRESENTATION & DESIGN
Galileo AI,PRESENTATION & DESIGN
Poly,PRESENTATION & DESIGN
VIZCOM,PRESENTATION & DESIGN
Picsart,PRESENTATION & DESIGN
Recraft,PRESENTATION & DESIGN
Kittl,PRESENTATION & DESIGN
modyfi,PRESENTATION & DESIGN
Framer,PRESENTATION & DESIGN
durable,PRESENTATION & DESIGN
MOONSHOT AI,PRESENTATION & DESIGN
KREA,PRESENTATION & DESIGN
runway,VIDEO EDITING
Descript,VIDEO EDITING
captions,VIDEO EDITING
Lensa,VIDEO EDITING
Remini,VIDEO EDITING
OpenAI SORA,VIDEO GENERATION
Synthesia,VIDEO GENERATION
LUMIERE,VIDEO GENERATION
Twelve Labs,VIDEO GENERATION
EmbodyMe,VIDEO GENERATION
DEEPBRAIN AI,VIDEO GENERATION
Pika Vid,VIDEO GENERATION
VEED.IO,VIDEO GENERATION
D-ID,VIDEO GENERATION
Fuki,VIDEO GENERATION
tavus,VIDEO GENERATION
Hour One,VIDEO GENERATION
vidyo.ai,VIDEO GENERATION
PICTORY,VIDEO GENERATION
HeyGen,VIDEO GENERATION
Colossyan,VIDEO GENERATION
M ET A P H Y S I C,VIDEO GENERATION
GAN.ai,VIDEO GENERATION
MAVERICK,VIDEO GENERATION
OZONE,VIDEO GENERATION
avataar,ANIMATION & 3D / GAMING
CSM,ANIMATION & 3D / GAMING
inworld,ANIMATION & 3D / GAMING
LUMA AI,ANIMATION & 3D / GAMING
SANDBOXAQ,ANIMATION & 3D / GAMING
DATA GRID,ANIMATION & 3D / GAMING
mirage,ANIMATION & 3D / GAMING
KAEDIM,ANIMATION & 3D / GAMING
HYPOTHEC,ANIMATION & 3D / GAMING
polymorph,ANIMATION & 3D / GAMING
READY PLAYER ME,ANIMATION & 3D / GAMING
Leonardo.AI,ANIMATION & 3D / GAMING
convaAI,ANIMATION & 3D / GAMING
Spline,ANIMATION & 3D / GAMING
FLAVWLESS,ANIMATION & 3D / GAMING
wonder,ANIMATION & 3D / GAMING
A1 DUNGEON,ANIMATION & 3D / GAMING
scenario,ANIMATION & 3D / GAMING
Layer,ANIMATION & 3D / GAMING
astroblox,ANIMATION & 3D / GAMING
Physna,ANIMATION & 3D / GAMING
OpenAI ChatGPT 4.0,SEARCH / CONVERSATIONAL AI
ANTHROPIC Claude 3,SEARCH / CONVERSATIONAL AI
Inflection Pi,SEARCH / CONVERSATIONAL AI
Adept ACT-1,SEARCH / CONVERSATIONAL AI
LE CHAT MYSTRAL,SEARCH / CONVERSATIONAL AI
Perplexity,SEARCH / CONVERSATIONAL AI
YOU,SEARCH / CONVERSATIONAL AI
Metaphor,SEARCH / CONVERSATIONAL AI
mem,SEARCH / CONVERSATIONAL AI
character.ai,SEARCH / CONVERSATIONAL AI
Leonora AI,SEARCH / CONVERSATIONAL AI
Voiceflow,SEARCH / CONVERSATIONAL AI
CHAI,SEARCH / CONVERSATIONAL AI
xembly,SEARCH / CONVERSATIONAL AI
Lindy,SEARCH / CONVERSATIONAL AI
personal.ai,SEARCH / CONVERSATIONAL AI
New Computer,SEARCH / CONVERSATIONAL AI
WolframAlpha,SEARCH / CONVERSATIONAL AI
Luzia,SEARCH / CONVERSATIONAL AI
nlx,SEARCH / CONVERSATIONAL AI
genei,SEARCH / CONVERSATIONAL AI
DeepSearch Labs,SEARCH / CONVERSATIONAL AI
